Year Make Model,Nickname,Ordinal,Year,Make,Model,Car Division,Spec,PI,Class
1967 Shelby GT 500,Shelby GT500 '67,3696,1967,Shelby,GT 500,Vintage Muscle,Factory,336,D
2021 Porsche Mission R,Porsche MissionR,3698,2021,Porsche,Mission R,Mission R Spec,Race,879,R
2021 McLaren Sabre,McL. Sabre '21,3700,2021,McLaren,Sabre,Modern Hypercars,Factory,786,S
1970 Hot Wheels Pontiac Firebird Trans Am Custom,HW Trans Am,3706,1970,Hot Wheels,Pontiac Firebird Trans Am Custom,Track Toys,Tuner,894,S1
2023 Lotus Emira,Lotus Emira '23,3716,2023,Lotus,Emira,Modern Sport GT,Factory,600,B
2022 Cadillac CT4-V Blackwing,Cadillac CT4 '22,3719,2022,Cadillac,CT4-V Blackwing,Modern Sport Touring,Factory,577,B
2022 Cadillac CT5-V Blackwing,Cadillac CT5 '22,3720,2022,Cadillac,CT5-V Blackwing,Modern Sport Touring,Factory,638,A
2022 GMC HUMMER EV Pickup,HUMMER EV Truck,3722,2022,GMC,HUMMER EV Pickup,Pickups & 4x4s,Factory,718,A
2022 Ferrari 296 GTB,Ferrari 296 GTB,3724,2022,Ferrari,296 GTB,Modern Sport GT,Factory,786,S
2022 BMW i4 eDrive40,BMW i4 '22,3734,2022,BMW,i4 eDrive40,Super Saloons,Factory,,
2022 SUBARU BRZ,SUBARU BRZ '22,3735,2022,SUBARU,BRZ,Modern Sport Compact,Factory,428,C
2022 Ford Bronco Raptor,,3736,2022,Ford,Bronco Raptor,Pickups & 4x4s,Factory,,
2022 BMW iX xDrive50,BMW iX '22,3737,2022,BMW,iX xDrive50,Sports Utility Heroes,Factory,,
1996 Formula Drift #51 Donut Media Nissan 240SX,#51 Nissan 240SX,3741,1996,Formula Drift,#51 Donut Media Nissan 240SX,Drift Cars,Race,822,S1
2003 Nissan Donut Media 350Z 'Hi Car',350Z Hi Car,3742,2003,Nissan,Donut Media 350Z 'Hi Car',Track Toys,Tuner,792,A
2004 Nissan Donut Media 350Z 'Low Car',350Z Low Car,3743,2004,Nissan,Donut Media 350Z 'Low Car',Track Toys,Tuner,733,A
2023 Formula Drift #64 Forsberg Racing Nissan Z,#64 Nissan Z,3744,2023,Formula Drift,#64 Forsberg Racing Nissan Z,Drift Cars,Race,854,S1
2020 Audi R8 V10 performance,Audi R8 '20,3745,2020,Audi,R8 V10 performance,Modern Sport GT,Factory,753,S
2022 CUPRA Formentor VZ5,Formentor '22,3746,2022,CUPRA,Formentor VZ5,Sports Utility Heroes,Factory,740,A
2022 CUPRA Tavascan Concept,Tavascan '22,3747,2022,CUPRA,Tavascan Concept,Sports Utility Heroes,Factory,677,B
2023 Lamborghini Huracán Tecnica,Huracán Tecnica,3753,2023,Lamborghini,Huracán Tecnica,Modern Supercars,Factory,850,S1
2024 Czinger 21C,,3757,2024,Czinger,21C,Extreme Track Toys,Factory,,
2022 Lamborghini Huracán EVO Spyder,Huracán Spyder,3759,2022,Lamborghini,Huracán EVO Spyder,Modern Sport GT,Factory,736,S
2022 Porsche 718 Cayman GT4 RS,P. 718 GT4 '22,3760,2022,Porsche,718 Cayman GT4 RS,Modern Sport Coupe,Factory,730,S
2022 Toyota GR86,Toyota GR86 '22,3761,2022,Toyota,GR86,Modern Sport Compact,Factory,404,C
2018 Aston Martin #97 AMR Vantage GTE,#97 Vantage GTE,3762,2018,Aston Martin,#97 AMR Vantage GTE,Forza GT2,Race,822,R
2023 BMW M2,BMW M2 '23,3763,2023,BMW,M2,Modern Sport Coupe,Factory,599,B
2023 Chevrolet Corvette Z06,Chev. C8 Z06 '23,3766,2023,Chevrolet,Corvette Z06,Modern Sport GT,Factory,757,S
2022 Acura NSX Type S,,3767,2022,Acura,NSX Type S,Modern Sport GT,Factory,,
2024 Chevrolet Corvette E-Ray,Chev. E-Ray '24,3771,2024,Chevrolet,Corvette E-Ray,Modern Sport GT,Factory,759,S
2021 Lamborghini Countach LPI 800-4,,3774,2021,Lamborghini,Countach LPI 800-4,Modern Hypercars,Factory,,S
2023 Porsche 911 GT3 RS,P. 911 GT3 RS 23,3781,2023,Porsche,911 GT3 RS,Modern Sport GT,Factory,783,S
2023 Cadillac #31 Whelen Engineering Cadillac Racing V-Series.R,Cadillac #31 LM,3792,2023,Cadillac,#31 Whelen Engineering Cadillac Racing V-Series.R,Forza Proto-H,Livery,941,P
2023 Meyers Manx 2.0,,3795,2023,Meyers,Manx 2.0,Buggies,Factory,,
2017 Mazda MX-5 Cup,Mazda MX-5 C '17,3798,2017,Mazda,MX-5 Cup,Forza Specials,Race,477,C
2020 Chevrolet Corvette Stingray Coupe Forza Edition,Chev. C8 FE '20,3800,2020,Chevrolet,Corvette Stingray Coupe Forza Edition,Modern Sport GT,Upgraded,700,A
2018 Chevrolet Camaro ZL1 1LE Forza Edition,Chev. Camaro FE,3801,2018,Chevrolet,Camaro ZL1 1LE Forza Edition,Modern Sport Touring,Upgraded,700,A
2019 Hyundai Veloster N Forza Edition,Veloster FE '19,3802,2019,Hyundai,Veloster N Forza Edition,Modern Hot Hatch,Upgraded,497,C
2016 Mercedes-AMG C 63 S Coupé Forza Edition,M-AMG C 63 FE,3803,2016,Mercedes-AMG,C 63 S Coupé Forza Edition,Modern Sport Touring,Upgraded,700,A
2019 SUBARU STI S209 Forza Edition,SUBARU STI FE,3804,2019,SUBARU,STI S209 Forza Edition,Modern Sport Compact,Upgraded,600,B
2018 Porsche 911 GT2 RS Forza Edition,Porsche 911 FE,3807,2018,Porsche,911 GT2 RS Forza Edition,Modern Sport GT,Upgraded,900,R
1956 Chevrolet Barbie Movie' Corvette EV,Barbie Corvette,3808,1956,Chevrolet,Barbie Movie' Corvette EV,Rods and Customs,Tuner,658,B
2022 GMC Barbie Movie' HUMMER EV PICKUP,Barbie HUMMER EV,3809,2022,GMC,Barbie Movie' HUMMER EV PICKUP,Pickups & 4x4s,Livery,718,A
2010 Nissan Tsuru,,3810,2010,Nissan,Tsuru,Retro Saloons,Factory,,
2023 Lucid Air Sapphire,,3811,2023,Lucid,Air Sapphire,Super Saloons,Factory,,
2022 Mazda MX-5 Miata RF,Mazda MX-5 RF,3823,2022,Mazda,MX-5 Miata RF,Modern Sport Compact,Factory,392,D
2023 Hyundai IONIQ 5 N,,3827,2023,Hyundai,IONIQ 5 N,Modern Hot Hatch,Factory,,A
1973 Fast and Furious Datsun 240Z 'Fast X',FAF 240Z,3832,1973,Fast and Furious,Datsun 240Z 'Fast X',Classic Sports Cars,Tuner,,
1966 Fast and Furious Chevrolet Impala Super Sport 'Fast X',FAF Impala,3835,1966,Fast and Furious,Chevrolet Impala Super Sport 'Fast X',Track Toys,Tuner,,
2022 Fast and Furious Dodge Charger SRT Hellcat Redeye Widebody 'Fast X',FAF Hellcat,3836,2022,Fast and Furious,Dodge Charger SRT Hellcat Redeye Widebody 'Fast X',Modern Muscle,Tuner,,
1970 Fast and Furious Dodge Charger 'Fast X',FAF Charger,3837,1970,Fast and Furious,Dodge Charger 'Fast X',Classic Muscle,Tuner,,
2022 Fast and Furious Flip Car 2.0 'Fast X',FAF Flip Car,3838,2022,Fast and Furious,Flip Car 2.0 'Fast X',Track Toys,Tuner,,
2024 Ford Mustang GT,Ford Mustang '24,3846,2024,Ford,Mustang GT,Modern Sport Touring,Factory,579,B
2024 Ford Mustang Dark Horse,Ford Dark Horse,3847,2024,Ford,Mustang Dark Horse,Modern Sport Touring,Factory,633,A
2024 Ford NASCAR Next Gen Mustang Dark Horse,NASCAR Mustang,3847,2024,Ford,NASCAR Next Gen Mustang Dark Horse,NASCAR,Race,855,R
2023 Toyota Camry TRD,Toyota Camry '23,3848,2023,Toyota,Camry TRD,Modern Sport Compact,Factory,412,C
2022 Hyundai Elantra N,Elantra N '22,3862,2022,Hyundai,Elantra N,Modern Sport Compact,Factory,480,C
2023 Cadillac #01 Cadillac Racing V-Series.R,Cadillac #01 LM,3866,2023,Cadillac,#01 Cadillac Racing V-Series.R,Forza Proto-H,Race,941,P
2023 Cadillac #2 Cadillac Racing V-Series.R,Cadillac #2 LM,3867,2023,Cadillac,#2 Cadillac Racing V-Series.R,Forza Proto-H,Livery,941,P
2024 Ford #88 Mustang RTR,#88 Mustang RTR,3868,2024,Ford,#88 Mustang RTR,Formula Drift,Livery,810,R
2024 Ford #25 Mustang RTR,#25 Mustang RTR,3870,2024,Ford,#25 Mustang RTR,Formula Drift,Race,810,R
2024 Lamborghini SC63,Lambo. SC63 '24,3874,2024,Lamborghini,SC63,Forza Proto-H,Factory,956,P
2024 Porsche #5 Porsche Penske Motorsport 963,#5 Porsche 963,3876,2024,Porsche,#5 Porsche Penske Motorsport 963,Forza Proto-H,Race,957,P
1995 Mitsubishi Lancer Evolution III GSR,Mit. Evo III '95,3886,1995,Mitsubishi,Lancer Evolution III GSR,Early Sport Compact,Factory,449,C
1976 BMW #1 BMW 3.0 CSL,#1 3.0 CSL '76,3888,1976,BMW,#1 BMW 3.0 CSL,GTX Sportscars,Livery,739,S
2024 Lamborghini Revuelto,Revuelto '24,3891,2024,Lamborghini,Revuelto,Modern Exotic GT,Factory,834,R
2020 Lotus Evora GT430,,3906,2020,Lotus,Evora GT430,Modern Sport Coupe,Factory,,A
2023 BMW #25 BMW Team RLL M Hybrid V8,#25 M Hybrid '23,3913,2023,BMW,#25 BMW Team RLL M Hybrid V8,Forza Proto-H,Race,954,P
1997 Toyota Mark II Tourer V JXZ100,Mk2 Tourer V '97,3915,1997,Toyota,Mark II Tourer V JXZ100,Sport Touring Classics,Factory,381,D
2024 Ford #130 Mustang RTR,#130 Mustang RTR,3916,2024,Ford,#130 Mustang RTR,Formula Drift,Race,837,R
2023 BMW #96 Turner Motorsports M4 GT3,#96 BMW M4 GT3,3919,2023,BMW,#96 Turner Motorsports M4 GT3,Forza GT3,Race,838,R
2024 Nissan Z NISMO,,3921,2024,Nissan,Z NISMO,Modern Sport Coupe,Factory,,B
2021 Hyundai i20 N,Hyundai i20 N,3928,2021,Hyundai,i20 N,Modern Hot Hatch,Factory,438,C
2023 Porsche 911 GT3 R,911 GT3 R '23,3951,2023,Porsche,911 GT3 R,Forza GT3,Race,820,P
2023 Porsche 911 Turbo S,,3953,2023,Porsche,911 Turbo S,Modern Sport GT,Factory,,S
1969 Chevrolet Camaro Jordan Luka 3 Motorsport Edition,Camaro JL3,3972,1969,Chevrolet,Camaro Jordan Luka 3 Motorsport Edition,Vintage Muscle,Tuner,693,A
2024 Toyota NASCAR Next Gen Camry XSE,NASCAR Camry,3993,2024,Toyota,NASCAR Next Gen Camry XSE,NASCAR,Race,855,R
2024 Chevrolet NASCAR Next Gen Camaro ZL1,NASCAR Camaro,3994,2024,Chevrolet,NASCAR Next Gen Camaro ZL1,NASCAR,Race,855,R
2024 Ford Mustang GT3,Ford Mustang GT3,4026,2024,Ford,Mustang GT3,Forza GT3,Race,829,R
1994 Ford Supervan 3 'Donut Media Edition',Supervan 3 DME,9007,1994,Ford,Supervan 3 'Donut Media Edition',Track Toys,Tuner,900,S1
2013 Abarth Punto Supersport,Abarth Punto,,2013,Abarth,Punto Supersport,Modern Hot Hatch,Factory,363,D
2010 Abarth 500 esseesse,Fiat Abarth 500,,2010,Abarth,500 esseesse,Hot Hatch,Factory,563,C
2017 Acura NSX Forza Edition,,,2017,Acura,NSX Forza Edition,Sport GT,Upgraded,773,S
2010 Acura TSX V6,,,2010,Acura,TSX V6,Sedan,Factory,375,C
2009 Acura #66 de Ferran Motorsports ARX-02a,,,2009,Acura,#66 de Ferran Motorsports ARX-02a,P1 Racing,Race,990,R1
2009 Acura #66 de Ferran Motorsports Jim Hall Tribute ARX-02a,,,2009,Acura,#66 de Ferran Motorsports Jim Hall Tribute ARX-02a,P1 Racing,Livery,989,R1
2008 Acura #15 Lowe's Fernandez ARX-01b,,,2008,Acura,#15 Lowe's Fernandez ARX-01b,P2,Race,954,R1
2008 Acura #26 Andretti-Green Racing ARX-01b,,,2008,Acura,#26 Andretti-Green Racing ARX-01b,P2,Livery,954,R1
2008 Acura #66 de Ferran Motorsports ARX-01b,,,2008,Acura,#66 de Ferran Motorsports ARX-01b,P2,Livery,954,R1
2006 Acura RL A-Spec,,,2006,Acura,RL A-Spec,,Factory,399,D
2005 Acura Forza Motorsport NSX,,,2005,Acura,Forza Motorsport NSX,Coupe,Upgraded,711,R3
2005 Acura NSX,,,2005,Acura,NSX,Sports,Factory,476,B
2003 Acura 3.2 CL Type-S,,,2003,Acura,3.2 CL Type-S,,Factory,,D2
2002 Acura #42 Realtime Racing NSX,#42 Acura NSX,,2002,Acura,#42 Realtime Racing NSX,GT3,Race,657,S
2000 Acura VIS Racing Integra Type-R,VIS Integra,,2000,Acura,VIS Racing Integra Type-R,,Race,507,C
1997 Acura NSX,,,1997,Acura,NSX,Sports,Factory,471,B
2020 Alejandra's Flatbed Truck,,,2020,Alejandra's,Flatbed Truck,,Traffic,,
2018 Alfa Romeo Stelvio Quadrifoglio,Alfa Romeo Stelvio,,2018,Alfa Romeo,Stelvio Quadrifoglio,Sports Utility Heroes,Factory,752,A
2016 Alfa Romeo Giulia Quadrifoglio Forza Edition,Alfa Giulia FE,,2016,Alfa Romeo,Giulia Quadrifoglio Forza Edition,Super Saloons,Upgraded,812,S1
2011 Alfa Romeo TZ3 Stradale Zagato,,,2011,Alfa Romeo,TZ3 Stradale Zagato,Sports,Factory,664,S
2010 Alfa Romeo 8C Spider,,,2010,Alfa Romeo,8C Spider,Open Top,Factory,556,A
2009 Alfa Romeo Brera Italia Independent,,,2009,Alfa Romeo,Brera Italia Independent,Hatch,Factory,347,D
2008 Alfa Romeo MiTo,,,2008,Alfa Romeo,MiTo,Hatch,Factory,292,D
2007 Alfa Romeo 8C Competizione Forza Edition,Alfa Romeo 8C FE,,2007,Alfa Romeo,8C Competizione Forza Edition,GT Cars,Upgraded,855,S1
1992 Alfa Romeo Milano Quadrifoglio Verde,Alfa Milano,,1992,Alfa Romeo,Milano Quadrifoglio Verde,Early Sport Touring,Factory,291,E
1990 Alfa Romeo SZ Sprint Zagato,Alfa Romeo SZ,,1990,Alfa Romeo,SZ Sprint Zagato,Early Sport Touring,Factory,369,D
1986 Alfa Romeo GTV-6,Alfa Romeo GTV-6,,1986,Alfa Romeo,GTV-6,Early Sport Touring,Factory,276,E
1986 Alfa Romeo Spider Quadrifoglio Verde,Alfa Spider,,1986,Alfa Romeo,Spider Quadrifoglio Verde,Sport Compact Icons,Factory,259,E
1970 Alfa Romeo Montreal,Alfa Montreal,,1970,Alfa Romeo,Montreal,Vintage Sport GT,Factory,288,E
1958 Alfa Romeo Giulietta Sprint Veloce,Giulietta '58,,1958,Alfa Romeo,Giulietta Sprint Veloce,Vintage Sport Compact,Factory,228,E
1950 Alfa Romeo 158,Alfa Romeo 158,,1950,Alfa Romeo,158,The Birth of Grand Prix,Race,574,B
1934 Alfa Romeo P3,Alfa Romeo P3,,1934,Alfa Romeo,P3,Vintage Racers,Race,626,B
1932 Alfa Romeo 8C 2300 Spider,Alfa 8C '32,,1932,Alfa Romeo,8C 2300 Spider,The Birth of Grand Prix,Race,290,E
2015 Alumi Craft Class 10 Race Car Forza Edition,Alumi Craft FE,,2015,Alumi Craft,Class 10 Race Car Forza Edition,Offroad Buggies,Upgraded,679,B
1977 AMC Pacer X,AMC Pacer,,1977,AMC,Pacer X,Hot Hatch Genesis,Factory,209,E
2017 Aston Martin DB11 PreOrder Car,AM DB11 PO,,2017,Aston Martin,DB11 PreOrder Car,Super GT,Upgraded,900,S1
2016 Aston Martin Vulcan Forza Edition,AM Vulcan FE,,2016,Aston Martin,Vulcan Forza Edition,Extreme Track Toys,Upgraded,955,S2
2012 Aston Martin V12 Zagato,AM V12 Zagato,,2012,Aston Martin,V12 Zagato,Sport GT,Factory,622,A
2012 Aston Martin Vanquish,AM Vanquish,,2012,Aston Martin,Vanquish,Super GT,Factory,802,S1
2012 Aston Martin Vanquish (Ltd. Ed.),,,2012,Aston Martin,Vanquish (Ltd. Ed.),Modern GT,Upgraded,,
2012 Aston Martin Virage,,,2012,Aston Martin,Virage,Sports,Factory,555,A
2011 Aston Martin #009 Aston Martin Racing AMR One,,,2011,Aston Martin,#009 Aston Martin Racing AMR One,P1 Racing,Race,976,R1
2011 Aston Martin #6 Muscle Milk Aston Martin Lola,,,2011,Aston Martin,#6 Muscle Milk Aston Martin Lola,P1 Racing,Livery,989,R1
2011 Aston Martin Cygnet,,,2011,Aston Martin,Cygnet,City,Factory,157,F
2011 Aston Martin V12 Zagato (Villa d'Este),,,2011,Aston Martin,V12 Zagato (Villa d'Este),Super GT,Factory,842,S1
2010 Aston Martin Rapide,,,2010,Aston Martin,Rapide,Sedan,Factory,517,A
2010 Aston Martin V12 Vantage,,,2010,Aston Martin,V12 Vantage,Sports,Factory,561,A
2009 Aston Martin #007 Aston Martin Lola,,,2009,Aston Martin,#007 Aston Martin Lola,P1 Racing,Race,989,R1
2008 Aston Martin #008 Bell Motorsports DBR9,,,2008,Aston Martin,#008 Bell Motorsports DBR9,GT1,Livery,826,R2
2008 Aston Martin #009 Aston Martin Racing DBR9,,,2008,Aston Martin,#009 Aston Martin Racing DBR9,GT1,Livery,825,R2
2008 Aston Martin Team Forza DBS,,,2008,Aston Martin,Team Forza DBS,Exotic GT,Upgraded,,
2006 Aston Martin #007 Aston Martin Racing DBR9,#07 AM DBR9,,2006,Aston Martin,#007 Aston Martin Racing DBR9,Forza GT,Race,881,R
2005 Aston Martin DB9 Coupe,,,2005,Aston Martin,DB9 Coupe,Sports,Factory,526,A
2005 Aston Martin Forza Motorsport DB9 Coupe,,,2005,Aston Martin,Forza Motorsport DB9 Coupe,Coupe,Upgraded,661,S
2003 Aston Martin DB7 Zagato,,,2003,Aston Martin,DB7 Zagato,Sports,Factory,509,A
1990 Aston Martin Lagonda,,,1990,Aston Martin,Lagonda,,Factory,,
1977 Aston Martin V8 Vantage,AM Vantage '77,,1977,Aston Martin,V8 Vantage,Vintage Sport GT,Factory,396,D
2016 Audi R8 V10 plus PreOrder Edition,,,2016,Audi,R8 V10 plus PreOrder Edition,Modern Super Cars,Upgraded,900,S1
2015 Audi S3 Sedan,Audi S3,,2015,Audi,S3 Sedan,Sport Compact,Factory,497,C
2015 Audi Team Forza TTS Coupe,,,2015,Audi,Team Forza TTS Coupe,Ultimate SpoCom,Livery,,
2014 Audi #45 Flying Lizard Motorsports R8 LMS Ultra,#45 Audi R8 LMS,,2014,Audi,#45 Flying Lizard Motorsports R8 LMS Ultra,Forza GT,Race,997,P
2014 Audi #67 Rotek Racing S3 Saloon,#67 Audi S3,,2014,Audi,#67 Rotek Racing S3 Saloon,Forza Touring Cars,Race,743,S
2013 Audi S4,,,2013,Audi,S4,Modern Sports Cars,Factory,738,A
2013 Audi Team Forza R8 Coupe V10 plus 5.2 FSI quattro,Audi R8 5.2 TF,,2013,Audi,Team Forza R8 Coupe V10 plus 5.2 FSI quattro,Exotic GT,Upgraded,,
2013 Audi Team Forza RS 7 Sportback,,,2013,Audi,Team Forza RS 7 Sportback,Executive Heavyweights,Upgraded,,
2012 Audi #1 Audi Sport Team Joest R18 e-tron quattro,#1 Audi R18 '12,,2012,Audi,#1 Audi Sport Team Joest R18 e-tron quattro,Forza P1,Race,992,P
2012 Audi R8 GT Spyder,,,2012,Audi,R8 GT Spyder,Open Top,Factory,626,S
2011 Audi #02 Audi A4 Touring Car,,,2011,Audi,#02 Audi A4 Touring Car,GTC,Race,833,R2
2011 Audi #03 Audi A4 Touring Car,,,2011,Audi,#03 Audi A4 Touring Car,GTC,Livery,833,R2
2011 Audi #04 Audi A4 Touring Car,,,2011,Audi,#04 Audi A4 Touring Car,GTC,Livery,833,R2
2011 Audi #05 Audi A4 Touring Car,,,2011,Audi,#05 Audi A4 Touring Car,GTC,Livery,833,R2
2011 Audi #06 Audi A4 Touring Car,,,2011,Audi,#06 Audi A4 Touring Car,GTC,Livery,833,R2
2011 Audi #2 Audi Sport Team Joest R15++ TDI,#2 Audi R15,,2011,Audi,#2 Audi Sport Team Joest R15++ TDI,Forza P1,Race,983,P
2011 Audi #2 Audi Sport Team Joest R18 TDI,,,2011,Audi,#2 Audi Sport Team Joest R18 TDI,P1 Racing,Race,986,R1
2011 Audi #4 Forza Motorsport R10 TDI,,,2011,Audi,#4 Forza Motorsport R10 TDI,P1 Racing,Livery,991,R1
2011 Audi R8 GT,,,2011,Audi,R8 GT,Super,Factory,648,S
2011 Audi RS 3 Sportback (Ltd. Ed.),,,2011,Audi,RS 3 Sportback (Ltd. Ed.),Modern Sport Compact,Upgraded,,
2010 Audi Forza Motorsport R8 5.2 FSI quattro,,,2010,Audi,Forza Motorsport R8 5.2 FSI quattro,Coupe,Upgraded,687,S
2010 Audi Forza Ultimate R8 5.2 FSI quattro,,,2010,Audi,Forza Ultimate R8 5.2 FSI quattro,,Livery,558,A
2010 Audi Forza Ultimate TT RS Coupe,,,2010,Audi,Forza Ultimate TT RS Coupe,,Livery,442,B
2010 Audi R8 5.2 Community Edition,,,2010,Audi,R8 5.2 Community Edition,,Livery,,
2010 Audi R8 5.2 FSI Quattro (painted/tuned),,,2010,Audi,R8 5.2 FSI Quattro (painted/tuned),Modern GT,Upgraded,,
2010 Audi S4,,,2010,Audi,S4,Sedan,Factory,509,A
2010 Audi TT RS Coupe (Day One),,,2010,Audi,TT RS Coupe (Day One),Coupster,Upgraded,,
2009 Audi #2 Audi Sport Team Joest R15 TDI,,,2009,Audi,#2 Audi Sport Team Joest R15 TDI,P1 Racing,Race,995,R1
2009 Audi Forza Ultimate R15 TDI,,,2009,Audi,Forza Ultimate R15 TDI,,Livery,983,R1
2009 Audi Q7 V12 TDI,Audi Q7,,2009,Audi,Q7 V12 TDI,Modern SUV,Factory,425,C
2009 Audi R8 LMS,,,2009,Audi,R8 LMS,GT3,Race,744,R3
2008 Audi #2 Audi Sport North America R10 TDI,,,2008,Audi,#2 Audi Sport North America R10 TDI,P1 Racing,Race,991,R1
2008 Audi A4 Touring Car,,,2008,Audi,A4 Touring Car,GT,Race,814,R2
2008 Audi R8 4.2,,,2008,Audi,R8 4.2,Sports,Factory,590,A
2007 Audi S5,,,2007,Audi,S5,Sports,Factory,502,A
2007 Audi TT Coupe S-Line,,,2007,Audi,TT Coupe S-Line,Sports,Factory,467,B
2006 Audi #2 Audi Sport North America R8,#2 Audi R8,,2006,Audi,#2 Audi Sport North America R8,Endurance Prototypes,Race,,
2006 Audi #8 Audi Sport Team Joest Audi R10 TDI,,,2006,Audi,#8 Audi Sport Team Joest Audi R10 TDI,P1 Racing,Livery,978,R1
2004 Audi #5 Audi Sport Japan Team Goh R8,#5 Audi R8,,2004,Audi,#5 Audi Sport Japan Team Goh R8,Endurance Prototypes,Race,,
2004 Audi #8 Audi ABT TT-R,,,2004,Audi,#8 Audi ABT TT-R,GTC,Race,827,R2
2004 Audi #88 Audi Sport UK Team Veloqx R8,,,2004,Audi,#88 Audi Sport UK Team Veloqx R8,,Livery,,R1
2004 Audi TT Coupe 3.2 quattro,,,2004,Audi,TT Coupe 3.2 quattro,Sports,Factory,421,C
2003 Audi #1 Champion RS6,,,2003,Audi,#1 Champion RS6,GT3,Race,655,S
2002 Audi #1 Champion S4 Competition,,,2002,Audi,#1 Champion S4 Competition,GT3,Race,644,S
2002 Audi #1 Infineon Audi R8,,,2002,Audi,#1 Infineon Audi R8,,Race,,R1
2001 Audi #38 Champion R8,,,2001,Audi,#38 Champion R8,,Livery,,P1
2001 Audi #4 Johansson Motorsport R8,,,2001,Audi,#4 Johansson Motorsport R8,P1 Racing,Livery,937,R1
2000 Audi AWE Tuning SilverBullet S4,,,2000,Audi,AWE Tuning SilverBullet S4,,Tuner,832,A
2000 Audi S4,,,2000,Audi,S4,Sedan,Factory,415,C
1983 Audi Sport quattro LCE Livery,,,1983,Audi,Sport quattro LCE Livery,Sports,Livery,434,B
1964 Austin FX4 Taxi,Austin Taxi,,1964,Austin,FX4 Taxi,Cult Cars,Factory,100,D
1924 Austin Seven,Austin Seven,,1924,Austin,Seven,Rare Classics,Factory,100,D
1993 Autozam AZ-1,,,1993,Autozam,AZ-1,Retro Hot Hatch,Factory,,
2014 BAC Mono Horizon Edition,,,2014,BAC,Mono Horizon Edition,Extreme Track Toys,Upgraded,900,S1
2015 Baldwin #97 Monster Energy Trophy Truck,,,2015,Baldwin,#97 Monster Energy Trophy Truck,Extreme Offroad,Race,796,A
2021 Bentley Continental GT Convertible,,,2021,Bentley,Continental GT Convertible,GT Cars,Factory,,
2021 Bentley Flying Spur,,,2021,Bentley,Flying Spur,Super Saloons,Factory,,
2017 Bentley #17A LIQUI MOLY M-Sport Continental GT3,#17 Bentley GT3,,2017,Bentley,#17A LIQUI MOLY M-Sport Continental GT3,Forza GT,Race,831,R
2015 Bentley EXP 10 Speed 6 Concept,Bentley Speed 6,,2015,Bentley,EXP 10 Speed 6 Concept,Sport Luxury,Factory,670,A
2013 Bentley Continental GT Speed,Bentley Cont '13,,2013,Bentley,Continental GT Speed,GT Cars,Factory,774,A
2013 Bentley Continental GT Speed Forza Edition,Bentley Cont FE,,2013,Bentley,Continental GT Speed Forza Edition,Track Toys,Upgraded,835,S1
2012 Bentley Continental GT,,,2012,Bentley,Continental GT,Sports,Factory,522,A
2011 Bentley Platinum Motorsports Continental GT,,,2011,Bentley,Platinum Motorsports Continental GT,Sports,Tuner,545,A
2010 Bentley Continental Supersports,,,2010,Bentley,Continental Supersports,Sports,Factory,567,A
2004 Bentley Continental GT,,,2004,Bentley,Continental GT,Sports,Factory,501,A
2010 Bertone Mantide,,,2010,Bertone,Mantide,Super,Factory,645,S
2022 BMW M5 CS,,,2022,BMW,M5 CS,Super Saloons,Factory,,
2018 BMW i8 Roadster,BMW I8 Roadster,,2018,BMW,i8 Roadster,Modern Super Cars,Factory,776,A
2014 BMW #5 Ebay Motors 125i M Sport,#5 BMW 125.i,,2014,BMW,#5 Ebay Motors 125i M Sport,Forza Touring Cars,Race,742,S
2014 BMW #55 BMW Team RLL Z4 GTE,#55 BMW Z4 GTE,,2014,BMW,#55 BMW Team RLL Z4 GTE,Forza GT,Race,814,R
2014 BMW #56 BMW Team RLL Z4 GTE,#56 BMW Z4 GTE,,2014,BMW,#56 BMW Team RLL Z4 GTE,Forza GT,Livery,814,R
2014 BMW M235i,BMW M235i '14,,2014,BMW,M235i,Super Saloons,Factory,700,B
2014 BMW M4 Coupe Forza Edition,BMW M4 '14 FE,,2014,BMW,M4 Coupe Forza Edition,Sport Touring,Upgraded,672,A
2014 BMW M4 Coupe Horizon Edition,,,2014,BMW,M4 Coupe Horizon Edition,Super Saloons,Upgraded,826,S1
2014 BMW Team Forza M4 Coupe,,,2014,BMW,Team Forza M4 Coupe,Ultimate Sport Machines,Livery,,
2013 BMW M Performance M3 Racing,,,2013,BMW,M Performance M3 Racing,German Touring Cars,Race,,
2013 BMW M135i,,,2013,BMW,M135i,Hatch,Factory,484,B
2013 BMW M6 Coupe Forza Edition,BMW M6 '13 FE,,2013,BMW,M6 Coupe Forza Edition,GT Cars,Upgraded,780,A
2012 BMW M5 F10 Design Challenge,,,2012,BMW,M5 F10 Design Challenge,Sedan,Livery,532,A
2012 BMW Team Forza M5,BMW M5 TF,,2012,BMW,Team Forza M5,Executive Heavyweights,Upgraded,,
2012 BMW Z4 sDrive28i,,,2012,BMW,Z4 sDrive28i,Open Top,Factory,414,B
2011 BMW X5 M Traffic,,,2011,BMW,X5 M Traffic,,Traffic,,
2011 BMW Z4 sDrive35is,BMW Z4 '11,,2011,BMW,Z4 sDrive35is,Modern Sports Cars,Factory,727,A
2010 BMW #79 Jeff Koons M3 GT2 Art Car,,,2010,BMW,#79 Jeff Koons M3 GT2 Art Car,GT2,Livery,756,R3
